Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp,avg_response_to_tut,avg_correctness_score,avg_question_rt,avg_text_rt,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
5e3581ed0082f15283413024,13,983,473,144,190,0.0,0.6,15.099159999990434,10.6412125,5,0.0300999999904958,0.0041755239223633,-1.8489288597292797,0.5115006979011175
5e3581ed0082f15283413024,30,709,269,164,192,0.0,0.6,15.099159999990434,10.6412125,4,0.0321500000238683,0.028504677992797,0.5024924751559237,0.6380866120712883
5e3581ed0082f15283413024,34,572,190,133,141,0.0,0.6,15.099159999990434,10.6412125,3,0.0190999999841026,0.0175786802721898,-0.8829198334913335,0.7637242013578927
5e3581ed0082f15283413024,35,375,102,94,96,0.0,0.6,15.099159999990434,10.6412125,6,0.0405833333372936,0.0221217916946183,0.1879388851316519,0.4771409989874761
5e3581ed0082f15283413024,36,49,20,2,4,0.0,0.6,15.099159999990434,10.6412125,2,0.0296000000119045,0.0418607214630791,,1.0
5e3581ed0082f15283413024,37,688,217,202,222,0.0,0.6,15.099159999990434,10.6412125,2,0.0536499999761872,0.0293449314192713,,0.9999999999999998
5e3581ed0082f15283413024,38,819,417,188,212,0.0,0.6,15.099159999990434,10.6412125,3,0.027799999992073,0.0301204249368321,0.6152806976165419,0.9292288559869016
5e3581ed0082f15283413024,39,130,20,37,41,0.0,0.6,15.099159999990434,10.6412125,3,0.0255666666348661,0.0138384729113881,-1.719747098031286,0.6734242532271296
5e3b8f110d41ad3a7bc35019,1,792,135,307,328,0.2857142857142857,0.9,13.119380000019078,15.8482975,89,0.0497932583750059,0.0105662390852502,0.7717400896732572,0.3183120966593442
5e3b8f110d41ad3a7bc35019,2,733,240,180,214,0.2857142857142857,0.9,13.119380000019078,15.8482975,89,0.0498764044579507,0.0055775120581334,0.0373011958995878,0.4551294437648437
5e3b8f110d41ad3a7bc35019,3,810,267,197,220,0.2857142857142857,0.9,13.119380000019078,15.8482975,100,0.0504709999618487,0.0133990298415415,1.0851485783746322,0.3354365041403651
5e3b8f110d41ad3a7bc35019,4,795,386,160,176,0.2857142857142857,0.9,13.119380000019078,15.8482975,90,0.0501977777528563,0.0090031451907315,3.9958314443266496,0.3089020226280076
5e3b8f110d41ad3a7bc35019,6,1075,222,520,556,0.2857142857142857,0.9,13.119380000019078,15.8482975,129,0.0505868216525579,0.0106176031478285,2.773820988559623,0.3781653995359781
