Participant,Question,Correct,Paragraph,Question_RT,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
61041a3b4159985f5294a436,10,1,13,-0.4831252449665099,-0.9145273273819732,-0.6303680295540298,-0.4142839025978891,-0.48945399655170885,-0.5270154338811672,-0.015898232067121428,-0.0725231894835341,-0.991499847938758,0.23203050330086927
6105619fd55674bb2c2f0f74,3,0,13,0.24629230955285922,1.7209292475619145,-0.7292011989911829,2.2259738690171895,2.3340300493939594,-0.22106566719949927,-0.03701922191392588,-0.03711129793585458,-0.1648196211500975,-0.5990885343249326
6105619fd55674bb2c2f0f74,10,0,13,0.04169530024826815,1.7209292475619145,-0.7292011989911829,2.2259738690171895,2.3340300493939594,-0.22106566719949927,-0.03701922191392588,-0.03711129793585458,-0.1648196211500975,-0.5990885343249326
6108295fdd0270d7544b5a8a,3,1,13,0.0519881258743126,-0.08001721284793659,-0.3098280205686686,0.1782624980546553,0.2547200930773821,0.2574711473538787,-0.053450129358993154,-0.04079912188344151,0.42781627744564704,-1.10175735774766
6108295fdd0270d7544b5a8a,10,1,13,-0.22118986702442764,-0.08001721284793659,-0.3098280205686686,0.1782624980546553,0.2547200930773821,0.2574711473538787,-0.053450129358993154,-0.04079912188344151,0.42781627744564704,-1.10175735774766
610a40ffbf11d261514a7c0a,3,0,13,-0.719220158988888,-0.4512514917399161,-0.16825618326680072,-0.26110864256525856,-0.3034104741444361,-0.33873865438475614,-0.05277577730789955,-0.055181675960769914,-0.05904449909894909,-0.3188326640334166
610a40ffbf11d261514a7c0a,10,1,13,-0.6259136815373844,-0.4512514917399161,-0.16825618326680072,-0.26110864256525856,-0.3034104741444361,-0.33873865438475614,-0.05277577730789955,-0.055181675960769914,-0.05904449909894909,-0.3188326640334166
610f615654fdbcac0f485a9d,3,0,13,-0.6907471268418214,0.22832200226482324,0.05612182302295215,0.32740683019169026,0.2583680052814462,0.4771273900996916,-0.04845530298215172,-0.05513371551333674,-0.15714886690722862,-0.13153820332166
610f615654fdbcac0f485a9d,10,1,13,-0.4365855680176511,0.22832200226482324,0.05612182302295215,0.32740683019169026,0.2583680052814462,0.4771273900996916,-0.04845530298215172,-0.05513371551333674,-0.15714886690722862,-0.13153820332166
6111234ac8cfa49e38acbfb4,3,0,13,-0.6576077383760065,-0.22881772959389532,0.14694149223547115,-0.4384694699714623,-0.5113414697760938,-0.5270154338811672,-0.09065461387743678,-0.04309926254955616,-0.13166047231618325,0.21353056669099557
6111234ac8cfa49e38acbfb4,10,1,13,-0.22114857183882936,-0.22881772959389532,0.14694149223547115,-0.4384694699714623,-0.5113414697760938,-0.5270154338811672,-0.09065461387743678,-0.04309926254955616,-0.13166047231618325,0.21353056669099557
611131e47725f6a04c723651,3,1,13,-0.5436949620780539,0.7314825124985807,0.9696608486312317,-0.20064472413132547,-0.215860581246896,-0.29166945951065343,-0.07644212667780742,-0.08954116497842231,0.3303252657496041,-0.4521298169585912
611131e47725f6a04c723651,10,1,13,-0.7320526386777798,0.7314825124985807,0.9696608486312317,-0.20064472413132547,-0.215860581246896,-0.29166945951065343,-0.07644212667780742,-0.08954116497842231,0.3303252657496041,-0.4521298169585912
61206e8d3e6a6ccdd064637c,3,1,13,0.19358932578041768,-0.4742618809274355,-0.07209418057119235,-0.5352117394657553,-0.6134830114898907,-0.5348602996935177,0.041712735754194076,0.3796792746706921,-0.43873807770369494,0.2006045561843467
61206e8d3e6a6ccdd064637c,10,1,13,0.19902996680783744,-0.4742618809274355,-0.07209418057119235,-0.5352117394657553,-0.6134830114898907,-0.5348602996935177,0.041712735754194076,0.3796792746706921,-0.43873807770369494,0.2006045561843467
612b86da38f96808af7bb1da,3,0,13,-0.804185008449867,-0.5770416192983554,-0.4781115252859832,-0.29738699362561843,-0.39825619145010455,-0.5427051655058681,-0.04998343381156545,0.02159995092478212,0.42005083073322913,1.3040381608153275
612b86da38f96808af7bb1da,10,1,13,-0.5796011281121666,-0.5770416192983554,-0.4781115252859832,-0.29738699362561843,-0.39825619145010455,-0.5427051655058681,-0.04998343381156545,0.02159995092478212,0.42005083073322913,1.3040381608153275
61313473de5462f652bb133c,3,0,13,0.5150620411334077,0.7345505643902499,1.5947138661526863,-0.4344385420758668,-0.4274394890826179,0.6810939012208035,-0.06159823406435314,-0.09656537625390871,0.637237067815969,-0.9609998153308346
61313473de5462f652bb133c,10,1,13,-0.47963580158415203,0.7345505643902499,1.5947138661526863,-0.4344385420758668,-0.4274394890826179,0.6810939012208035,-0.06159823406435314,-0.09656537625390871,0.637237067815969,-0.9609998153308346
61372727e083e6cd1c827f81,3,0,13,-0.4461866992459271,-0.14444630257299088,0.27248632908807097,-0.3336653446859783,-0.26328343989973024,-0.45641164157001307,-0.04967610895202868,-0.054711259957272815,-0.23642955257744655,-0.3726202781541987
61372727e083e6cd1c827f81,10,1,13,-0.7315570964257888,-0.14444630257299088,0.27248632908807097,-0.3336653446859783,-0.26328343989973024,-0.45641164157001307,-0.04967610895202868,-0.054711259957272815,-0.23642955257744655,-0.3726202781541987
614e2b2bd900d5f91096ac12,3,1,13,-0.6690981244648219,0.0841235633563684,-0.8333767019114253,2.6330975864723394,2.2245926832720344,-0.12692727745129376,-0.09036935223790009,-0.1353273954624568,-0.5872060652930109,-0.5955730296450763
614e2b2bd900d5f91096ac12,10,1,13,-0.3105526540176928,0.0841235633563684,-0.8333767019114253,2.6330975864723394,2.2245926832720344,-0.12692727745129376,-0.09036935223790009,-0.1353273954624568,-0.5872060652930109,-0.5955730296450763
614ead1e38ca4b390b860c23,3,1,13,-0.5053420561795049,1.1057848432822295,-0.7452281994404509,3.2337058429160748,2.775427426085724,-0.44072190994531213,-0.08193828567751699,-0.08749317107558603,-0.8352770054603621,-0.2156561359479279
614ead1e38ca4b390b860c23,10,1,13,-0.3469956574924515,1.1057848432822295,-0.7452281994404509,3.2337058429160748,2.775427426085724,-0.44072190994531213,-0.08193828567751699,-0.08749317107558603,-0.8352770054603621,-0.2156561359479279
6150b927614a4f154f311f9d,3,0,13,0.4140540111060039,-0.24722604094391082,-0.44338635764590245,0.504767657597894,0.6851737331569543,-0.36227325182180753,-0.07941797911626622,-0.033797964572493934,1.3371921090056356,-0.6624241261929784
6150b927614a4f154f311f9d,10,1,13,-0.482175455650896,-0.24722604094391082,-0.44338635764590245,0.504767657597894,0.6851737331569543,-0.36227325182180753,-0.07941797911626622,-0.033797964572493934,1.3371921090056356,-0.6624241261929784
615374d9fd9b41728babd974,3,0,13,-0.6979324895369462,0.9861308195071286,-0.8413902021360593,2.330777994302674,2.1188032293541736,-0.4328770441329617,-0.07566899353554235,-0.1051078765708173,-1.550555705153849,-0.6297246036500804
615374d9fd9b41728babd974,10,1,13,-0.42929696732262596,0.9861308195071286,-0.8413902021360593,2.330777994302674,2.1188032293541736,-0.4328770441329617,-0.07566899353554235,-0.1051078765708173,-1.550555705153849,-0.6297246036500804
615d051e2366aeb051acb734,3,1,13,-0.32949682154635296,4.114009723063932,5.150036799148651,1.2061491114315182,1.1448106708690398,7.341384975906343,-0.10717597673260136,-0.12510543693690987,1.0490340878297713,-1.249688819952955
