Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
596e1af7a09655000197d4bb,22,274,18,20,43,41,0.0492195121968801,0.0132690470506327,-0.5989124715906541,0.4104408107446096
596e1af7a09655000197d4bb,23,26,0,1,1,2,0.0,0.0,,1.0
596e1af7a09655000197d4bb,24,217,69,14,44,16,0.0651937499992493,0.0121426229254268,1.5297153740533775,0.4568437460776743
596e1af7a09655000197d4bb,25,300,22,126,160,45,0.0493088888904762,0.0136733453733788,-2.002342284024692,0.4221907203340196
596e1af7a09655000197d4bb,26,401,0,339,344,75,0.0515653333333319,0.0096596051244278,0.8437444465543235,0.4277570034283427
596e1af7a09655000197d4bb,27,109,5,15,28,21,0.0512571428628249,0.0106074300121157,1.0486854920637707,0.4331192347207462
596e1af7a09655000197d4bb,28,237,65,8,31,44,0.0528522727202293,0.017354960271993,1.529733973324868,0.4021914423975253
596e1af7a09655000197d4bb,29,500,238,79,177,91,0.0444912087947465,0.0135119588909021,3.413791806601181,0.4111297208782815
596e1af7a09655000197d4bb,30,333,125,33,89,64,0.0439265624994476,0.0129907811248524,2.597720748074213,0.3608774386482875
596e1af7a09655000197d4bb,31,281,49,104,130,48,0.0456229166664185,0.0146001200709787,1.1339810757299489,0.4806120053462255
596e1af7a09655000197d4bb,32,221,5,106,127,43,0.0477046511619589,0.0090148806507652,-3.514224896810984,0.5109897442375715
596e1af7a09655000197d4bb,33,117,0,66,88,22,0.0423818181850653,0.0087327318683065,1.572786334991727,0.338198422626088
596e1af7a09655000197d4bb,34,386,63,148,196,78,0.050391025640104,0.0113605970407469,-0.601972270750361,0.4441726155001075
596e1af7a09655000197d4bb,35,165,0,102,109,35,0.0487971428534036,0.0143654300202973,-2.2325103609989343,0.5420766805041894
596e1af7a09655000197d4bb,36,228,0,96,120,43,0.0501279069814516,0.0069992967538185,1.1946533765296905,0.4593106678969736
596e1af7a09655000197d4bb,37,348,26,99,153,65,0.0521215384595333,0.015396737605025,2.818630418632546,0.3947254213092808
596e1af7a09655000197d4bb,38,490,132,137,211,81,0.0494493827159023,0.0122822954300262,3.633171566809657,0.4884162222016193
