Participant,Probe,TUT,Disengage,Awareness,FMT
60dfdb8bbef17b6739d12215,2,0,1,7,1
60dfdb8bbef17b6739d12215,3,0,1,7,1
60dfdb8bbef17b6739d12215,4,0,1,7,1
60dfdb8bbef17b6739d12215,5,1,2,5,2
60dfdb8bbef17b6739d12215,6,0,1,7,1
60dfdb8bbef17b6739d12215,7,1,2,2,2
60e36d56350e661cf50f2c7e,1,0,3,7,5
60e36d56350e661cf50f2c7e,2,0,1,3,1
60e36d56350e661cf50f2c7e,3,0,2,3,1
60e36d56350e661cf50f2c7e,4,0,1,3,1
60e36d56350e661cf50f2c7e,5,1,1,4,2
60e36d56350e661cf50f2c7e,6,1,1,5,4
60e36d56350e661cf50f2c7e,7,0,1,3,2
60e498712f548b22f3ec7c65,1,1,4,7,4
60e498712f548b22f3ec7c65,2,1,3,7,5
60e498712f548b22f3ec7c65,3,1,4,6,6
60e498712f548b22f3ec7c65,4,1,3,7,5
60e498712f548b22f3ec7c65,5,1,5,6,5
60e498712f548b22f3ec7c65,6,1,3,6,7
60e498712f548b22f3ec7c65,7,1,4,6,5
60f8adb9a315f316c3aee425,1,0,1,2,2
60f8adb9a315f316c3aee425,2,0,1,1,1
60f8adb9a315f316c3aee425,3,0,1,1,1
60f8adb9a315f316c3aee425,4,0,1,2,2
60f8adb9a315f316c3aee425,5,1,2,2,2
60f8adb9a315f316c3aee425,6,1,2,3,3
60f8adb9a315f316c3aee425,7,0,2,3,2
60fcd0f990314dce9c243fef,1,0,5,4,5
60fcd0f990314dce9c243fef,2,0,5,3,6
60fcd0f990314dce9c243fef,3,0,6,6,6
60fcd0f990314dce9c243fef,4,0,6,5,7
60fcd0f990314dce9c243fef,5,0,6,3,5
60fcd0f990314dce9c243fef,6,0,3,7,5
60fcd0f990314dce9c243fef,7,0,6,7,7
60ff07f922e9fa09d90159a1,1,0,5,5,4
60ff07f922e9fa09d90159a1,2,1,5,6,5
60ff07f922e9fa09d90159a1,3,0,3,4,4
60ff07f922e9fa09d90159a1,4,1,5,5,5
60ff07f922e9fa09d90159a1,5,0,4,3,4
60ff07f922e9fa09d90159a1,6,0,5,4,4
60ff07f922e9fa09d90159a1,7,0,5,4,3
61071ee0d98a6df6efb59716,1,0,7,6,5
61071ee0d98a6df6efb59716,2,0,3,5,3
61071ee0d98a6df6efb59716,3,0,3,4,5
61071ee0d98a6df6efb59716,4,0,3,4,4
61071ee0d98a6df6efb59716,5,0,2,4,4
61071ee0d98a6df6efb59716,6,0,3,4,4
61071ee0d98a6df6efb59716,7,0,3,3,4
61088c529cff73b187d19e6d,1,1,3,7,4
61088c529cff73b187d19e6d,2,1,5,7,3
61088c529cff73b187d19e6d,3,1,5,7,3
61088c529cff73b187d19e6d,4,1,3,7,2
61088c529cff73b187d19e6d,5,0,2,7,1
61088c529cff73b187d19e6d,6,0,3,7,2
61088c529cff73b187d19e6d,7,1,5,6,5
610c4e668fad041dbcf2079b,1,1,7,7,7
610c4e668fad041dbcf2079b,2,0,3,7,3
610c4e668fad041dbcf2079b,3,1,7,7,7
610c4e668fad041dbcf2079b,4,1,5,7,5
610c4e668fad041dbcf2079b,5,1,7,7,7
610c4e668fad041dbcf2079b,6,1,5,5,7
610c4e668fad041dbcf2079b,7,0,3,4,3
6121aaee9d29f0c6e3bc8bea,1,1,7,7,5
6121aaee9d29f0c6e3bc8bea,2,1,7,7,6
6121aaee9d29f0c6e3bc8bea,3,1,7,7,6
6121aaee9d29f0c6e3bc8bea,4,1,7,7,6
6121aaee9d29f0c6e3bc8bea,5,1,7,7,6
6121aaee9d29f0c6e3bc8bea,6,1,7,7,7
6121aaee9d29f0c6e3bc8bea,7,1,7,7,7
6138f7e0ad42e592ca5f2024,1,0,1,4,5
6138f7e0ad42e592ca5f2024,2,0,4,7,6
6138f7e0ad42e592ca5f2024,3,0,4,7,5
6138f7e0ad42e592ca5f2024,4,0,4,3,4
6138f7e0ad42e592ca5f2024,5,0,3,7,4
6138f7e0ad42e592ca5f2024,6,0,6,7,6
6138f7e0ad42e592ca5f2024,7,0,3,7,6
6140e85de611a8d1aa7ebc12,1,0,5,3,3
6140e85de611a8d1aa7ebc12,2,0,6,4,4
6140e85de611a8d1aa7ebc12,3,0,4,2,3
6140e85de611a8d1aa7ebc12,4,1,6,6,6
6140e85de611a8d1aa7ebc12,5,1,7,7,7
6140e85de611a8d1aa7ebc12,6,1,7,6,6
6140e85de611a8d1aa7ebc12,7,1,6,6,6
6145a88c94a2c86532d36b0f,1,1,4,2,3
6145a88c94a2c86532d36b0f,2,0,3,2,2
6145a88c94a2c86532d36b0f,3,1,3,4,4
6145a88c94a2c86532d36b0f,4,0,2,1,2
6145a88c94a2c86532d36b0f,5,0,2,2,2
6145a88c94a2c86532d36b0f,6,1,2,1,5
6145a88c94a2c86532d36b0f,7,0,2,3,2
6148f3d1074988c7852c1774,1,0,2,6,2
6148f3d1074988c7852c1774,2,0,2,3,3
6148f3d1074988c7852c1774,3,0,3,4,4
6148f3d1074988c7852c1774,4,0,3,3,3
6148f3d1074988c7852c1774,5,1,2,4,4
6148f3d1074988c7852c1774,6,0,2,3,2
6148f3d1074988c7852c1774,7,0,2,3,3
615a084387075364a7462335,1,0,1,2,2
615a084387075364a7462335,2,0,2,2,3
615a084387075364a7462335,3,1,2,3,4
615a084387075364a7462335,4,1,4,3,3
615a084387075364a7462335,5,0,2,2,2
615a084387075364a7462335,6,1,3,2,2
615a084387075364a7462335,7,0,2,2,2
622a4950fe920c5a243b8b8c,1,0,2,7,3
622a4950fe920c5a243b8b8c,2,0,2,7,3
622a4950fe920c5a243b8b8c,3,1,1,2,2
622a4950fe920c5a243b8b8c,4,1,1,4,2
622a4950fe920c5a243b8b8c,5,0,1,7,1
622a4950fe920c5a243b8b8c,6,1,1,7,3
622a4950fe920c5a243b8b8c,7,0,1,6,2
62695a9549ef754a8767ab71,1,1,1,7,2
62695a9549ef754a8767ab71,2,0,1,7,1
62695a9549ef754a8767ab71,3,0,1,7,1
