Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp
5d79375d794d900017671c07,6,473,138,113,210
5d79375d794d900017671c07,7,591,202,32,72
5d79375d794d900017671c07,8,105,21,0,5
5d79375d794d900017671c07,9,1227,479,35,156
5d79375d794d900017671c07,10,217,36,29,70
5d79375d794d900017671c07,11,338,55,142,177
5d79375d794d900017671c07,12,507,146,26,93
5d79375d794d900017671c07,13,1310,416,434,580
5d79375d794d900017671c07,14,636,149,128,283
5d79375d794d900017671c07,15,402,42,157,254
5d79375d794d900017671c07,16,145,21,23,35
5d79375d794d900017671c07,17,155,6,34,36
5d79375d794d900017671c07,18,248,17,99,104
5d79375d794d900017671c07,19,281,2,180,189
5d79375d794d900017671c07,20,1137,253,526,687
5d79375d794d900017671c07,21,600,98,190,355
5d79375d794d900017671c07,22,474,163,90,199
5d79375d794d900017671c07,23,86,0,56,79
5d79375d794d900017671c07,24,531,205,70,144
5d79375d794d900017671c07,25,558,153,10,26
5d79375d794d900017671c07,26,866,449,39,115
5d79375d794d900017671c07,27,293,49,13,45
5d79375d794d900017671c07,28,832,124,316,400
5d79375d794d900017671c07,29,761,496,10,96
5d79375d794d900017671c07,30,884,422,89,195
5d79375d794d900017671c07,31,510,242,5,50
5d79375d794d900017671c07,32,472,267,2,16
5d79375d794d900017671c07,33,220,87,0,3
5d79375d794d900017671c07,34,624,208,155,270
5d79375d794d900017671c07,35,411,191,0,26
5d79375d794d900017671c07,36,673,337,29,108
5d79375d794d900017671c07,37,676,410,23,38
5d79375d794d900017671c07,38,1045,868,0,45
5d79375d794d900017671c07,39,172,59,0,0
5d79375d794d900017671c07,40,634,337,42,89
5dcc27974b54778b69e62ec5,1,711,279,8,44
5dcc27974b54778b69e62ec5,2,1234,816,38,126
5dcc27974b54778b69e62ec5,3,1031,540,56,137
5dcc27974b54778b69e62ec5,4,1405,856,178,254
5dcc27974b54778b69e62ec5,5,175,50,0,0
5dcc27974b54778b69e62ec5,6,861,364,48,77
5dcc27974b54778b69e62ec5,7,766,319,40,72
5dcc27974b54778b69e62ec5,8,106,19,6,10
5dcc27974b54778b69e62ec5,9,723,268,58,96
5dcc27974b54778b69e62ec5,10,270,58,10,24
5dcc27974b54778b69e62ec5,11,505,191,28,56
5dcc27974b54778b69e62ec5,12,572,100,40,80
5dcc27974b54778b69e62ec5,13,1342,857,100,144
5dcc27974b54778b69e62ec5,14,654,223,52,60
5dcc27974b54778b69e62ec5,15,490,42,142,146
5dcc27974b54778b69e62ec5,16,152,28,10,10
5dcc27974b54778b69e62ec5,17,76,10,8,8
5dcc27974b54778b69e62ec5,18,326,70,39,55
5dcc27974b54778b69e62ec5,19,344,100,17,37
5dcc27974b54778b69e62ec5,20,1386,779,70,108
5dcc27974b54778b69e62ec5,21,878,324,122,148
5dcc27974b54778b69e62ec5,22,740,230,60,78
5dcc27974b54778b69e62ec5,23,75,8,6,6
5dcc27974b54778b69e62ec5,24,748,355,36,80
5dcc27974b54778b69e62ec5,25,852,402,36,64
5dcc27974b54778b69e62ec5,26,1367,778,154,216
5dcc27974b54778b69e62ec5,27,347,88,21,29
5dcc27974b54778b69e62ec5,28,638,276,14,20
5dcc27974b54778b69e62ec5,29,1243,429,170,176
5dcc27974b54778b69e62ec5,30,1181,420,118,120
5dcc27974b54778b69e62ec5,31,759,245,82,94
5dcc27974b54778b69e62ec5,32,639,236,16,24
5dcc27974b54778b69e62ec5,33,373,158,2,2
5dcc27974b54778b69e62ec5,34,900,523,24,28
5dcc27974b54778b69e62ec5,35,705,421,34,34
5dcc27974b54778b69e62ec5,36,872,358,24,64
5dcc27974b54778b69e62ec5,37,1106,675,32,45
5dcc27974b54778b69e62ec5,38,1587,1393,10,22
5dcc27974b54778b69e62ec5,39,346,125,2,2
5dcc27974b54778b69e62ec5,40,1072,716,16,32
5dce29700ad506063969a4a5,1,895,213,68,194
5dce29700ad506063969a4a5,2,1750,738,82,335
5dce29700ad506063969a4a5,3,1217,420,83,196
5dce29700ad506063969a4a5,4,1961,697,252,317
5dce29700ad506063969a4a5,5,524,52,25,44
5dce29700ad506063969a4a5,6,924,348,52,95
